PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
395,1,3,1,24.0,0,2,1
396,0,3,0,22.0,0,0,1
397,0,3,1,31.0,0,0,1
398,0,2,0,46.0,0,0,1
399,0,2,0,23.0,0,0,1
400,1,2,1,28.0,0,0,1
401,1,3,0,39.0,0,0,1
402,0,3,0,26.0,0,0,1
403,0,3,1,21.0,1,0,1
404,0,3,0,28.0,1,0,1
405,0,3,1,20.0,0,0,1
406,0,2,0,34.0,1,0,1
407,0,3,0,51.0,0,0,1
408,1,2,0,3.0,1,1,1
409,0,3,0,21.0,0,0,1
413,1,1,1,33.0,1,0,3
415,1,3,0,44.0,0,0,1
417,1,2,1,34.0,1,1,1
418,1,2,1,18.0,0,2,1
419,0,2,0,30.0,0,0,1
420,0,3,1,10.0,0,2,1
422,0,3,0,21.0,0,0,3
423,0,3,0,29.0,0,0,1
424,0,3,1,28.0,1,1,1
425,0,3,0,18.0,1,1,1
427,1,2,1,28.0,1,0,1
428,1,2,1,19.0,0,0,1
430,1,3,0,32.0,0,0,1
431,1,1,0,28.0,0,0,1
433,1,2,1,42.0,1,0,1
434,0,3,0,17.0,0,0,1
435,0,1,0,50.0,1,0,1
436,1,1,1,14.0,1,2,1
437,0,3,1,21.0,2,2,1
438,1,2,1,24.0,2,3,1
439,0,1,0,64.0,1,4,1
440,0,2,0,31.0,0,0,1
441,1,2,1,45.0,1,1,1
442,0,3,0,20.0,0,0,1
443,0,3,0,25.0,1,0,1
444,1,2,1,28.0,0,0,1
446,1,1,0,4.0,0,2,1
447,1,2,1,13.0,0,1,1
448,1,1,0,34.0,0,0,1
449,1,3,1,5.0,2,1,2
450,1,1,0,52.0,0,0,1
451,0,2,0,36.0,1,2,1
453,0,1,0,30.0,0,0,2
454,1,1,0,49.0,1,0,2
456,1,3,0,29.0,0,0,2
457,0,1,0,65.0,0,0,1
459,1,2,1,50.0,0,0,1
461,1,1,0,48.0,0,0,1
462,0,3,0,34.0,0,0,1
463,0,1,0,47.0,0,0,1
464,0,2,0,48.0,0,0,1
466,0,3,0,38.0,0,0,1
468,0,1,0,56.0,0,0,1
470,1,3,1,0.75,2,1,2
472,0,3,0,38.0,0,0,1
473,1,2,1,33.0,1,2,1
474,1,2,1,23.0,0,0,2
475,0,3,1,22.0,0,0,1
477,0,2,0,34.0,1,0,1
478,0,3,0,29.0,1,0,1
479,0,3,0,22.0,0,0,1
480,1,3,1,2.0,0,1,1
481,0,3,0,9.0,5,2,1
483,0,3,0,50.0,0,0,1
484,1,3,1,63.0,0,0,1
485,1,1,0,25.0,1,0,2
487,1,1,1,35.0,1,0,1
488,0,1,0,58.0,0,0,2
489,0,3,0,30.0,0,0,1
490,1,3,0,9.0,1,1,1
492,0,3,0,21.0,0,0,1
493,0,1,0,55.0,0,0,1
494,0,1,0,71.0,0,0,2
495,0,3,0,21.0,0,0,1
497,1,1,1,54.0,1,0,2
499,0,1,1,25.0,1,2,1
500,0,3,0,24.0,0,0,1
501,0,3,0,17.0,0,0,1
502,0,3,1,21.0,0,0,3
504,0,3,1,37.0,0,0,1
505,1,1,1,16.0,0,0,1
506,0,1,0,18.0,1,0,2
507,1,2,1,33.0,0,2,1
509,0,3,0,28.0,0,0,1
510,1,3,0,26.0,0,0,1
511,1,3,0,29.0,0,0,3
513,1,1,0,36.0,0,0,1
514,1,1,1,54.0,1,0,2
515,0,3,0,24.0,0,0,1
516,0,1,0,47.0,0,0,1
517,1,2,1,34.0,0,0,1
519,1,2,1,36.0,1,0,1
520,0,3,0,32.0,0,0,1
521,1,1,1,30.0,0,0,1
522,0,3,0,22.0,0,0,1
524,1,1,1,44.0,0,1,2
526,0,3,0,40.5,0,0,3
527,1,2,1,50.0,0,0,1
529,0,3,0,39.0,0,0,1
530,0,2,0,23.0,2,1,1
531,1,2,1,2.0,1,1,1
533,0,3,0,17.0,1,1,2
535,0,3,1,30.0,0,0,1
536,1,2,1,7.0,0,2,1
537,0,1,0,45.0,0,0,1
538,1,1,1,30.0,0,0,2
540,1,1,1,22.0,0,2,2
541,1,1,1,36.0,0,2,1
542,0,3,1,9.0,4,2,1
543,0,3,1,11.0,4,2,1
544,1,2,0,32.0,1,0,1
545,0,1,0,50.0,1,0,2
546,0,1,0,64.0,0,0,1
547,1,2,1,19.0,1,0,1
549,0,3,0,33.0,1,1,1
550,1,2,0,8.0,1,1,1
551,1,1,0,17.0,0,2,2
552,0,2,0,27.0,0,0,1
554,1,3,0,22.0,0,0,2
555,1,3,1,22.0,0,0,1
556,0,1,0,62.0,0,0,1
557,1,1,1,48.0,1,0,2
559,1,1,1,39.0,1,1,1
560,1,3,1,36.0,1,0,1
562,0,3,0,40.0,0,0,1
563,0,2,0,28.0,0,0,1
566,0,3,0,24.0,2,0,1
567,0,3,0,19.0,0,0,1
568,0,3,1,29.0,0,4,1
570,1,3,0,32.0,0,0,1
571,1,2,0,62.0,0,0,1
572,1,1,1,53.0,2,0,1
573,1,1,0,36.0,0,0,1
575,0,3,0,16.0,0,0,1
576,0,3,0,19.0,0,0,1
577,1,2,1,34.0,0,0,1
578,1,1,1,39.0,1,0,1
580,1,3,0,32.0,0,0,1
581,1,2,1,25.0,1,1,1
582,1,1,1,39.0,1,1,2
583,0,2,0,54.0,0,0,1
584,0,1,0,36.0,0,0,2
586,1,1,1,18.0,0,2,1
587,0,2,0,47.0,0,0,1
588,1,1,0,60.0,1,1,2
589,0,3,0,22.0,0,0,1
591,0,3,0,35.0,0,0,1
592,1,1,1,52.0,1,0,2
593,0,3,0,47.0,0,0,1
595,0,2,0,37.0,1,0,1
596,0,3,0,36.0,1,1,1
598,0,3,0,49.0,0,0,1
600,1,1,0,49.0,1,0,2
601,1,2,1,24.0,2,1,1
604,0,3,0,44.0,0,0,1
605,1,1,0,35.0,0,0,2
606,0,3,0,36.0,1,0,1
607,0,3,0,30.0,0,0,1
608,1,1,0,27.0,0,0,1
609,1,2,1,22.0,1,2,2
610,1,1,1,40.0,0,0,1
611,0,3,1,39.0,1,5,1
615,0,3,0,35.0,0,0,1
616,1,2,1,24.0,1,2,1
617,0,3,0,34.0,1,1,1
618,0,3,1,26.0,1,0,1
619,1,2,1,4.0,2,1,1
620,0,2,0,26.0,0,0,1
621,0,3,0,27.0,1,0,2
622,1,1,0,42.0,1,0,1
623,1,3,0,20.0,1,1,2
624,0,3,0,21.0,0,0,1
625,0,3,0,21.0,0,0,1
626,0,1,0,61.0,0,0,1
627,0,2,0,57.0,0,0,3
628,1,1,1,21.0,0,0,1
629,0,3,0,26.0,0,0,1
631,1,1,0,80.0,0,0,1
632,0,3,0,51.0,0,0,1
633,1,1,0,32.0,0,0,2
635,0,3,1,9.0,3,2,1
636,1,2,1,28.0,0,0,1
637,0,3,0,32.0,0,0,1
638,0,2,0,31.0,1,1,1
639,0,3,1,41.0,0,5,1
641,0,3,0,20.0,0,0,1
642,1,1,1,24.0,0,0,2
643,0,3,1,2.0,3,2,1
645,1,3,1,0.75,2,1,2
646,1,1,0,48.0,1,0,2
647,0,3,0,19.0,0,0,1
648,1,1,0,56.0,0,0,2
650,1,3,1,23.0,0,0,1
652,1,2,1,18.0,0,1,1
653,0,3,0,21.0,0,0,1
655,0,3,1,18.0,0,0,3
656,0,2,0,24.0,2,0,1
658,0,3,1,32.0,1,1,3
659,0,2,0,23.0,0,0,1
660,0,1,0,58.0,0,2,2
661,1,1,0,50.0,2,0,1
662,0,3,0,40.0,0,0,2
663,0,1,0,47.0,0,0,1
664,0,3,0,36.0,0,0,1
665,1,3,0,20.0,1,0,1
666,0,2,0,32.0,2,0,1
667,0,2,0,25.0,0,0,1
669,0,3,0,43.0,0,0,1
671,1,2,1,40.0,1,1,1
672,0,1,0,31.0,1,0,1
673,0,2,0,70.0,0,0,1
674,1,2,0,31.0,0,0,1
676,0,3,0,18.0,0,0,1
677,0,3,0,24.5,0,0,1
678,1,3,1,18.0,0,0,1
679,0,3,1,43.0,1,6,1
680,1,1,0,36.0,0,1,2
682,1,1,0,27.0,0,0,2
683,0,3,0,20.0,0,0,1
684,0,3,0,14.0,5,2,1
685,0,2,0,60.0,1,1,1
686,0,2,0,25.0,1,2,2
687,0,3,0,14.0,4,1,1
688,0,3,0,19.0,0,0,1
689,0,3,0,18.0,0,0,1
690,1,1,1,15.0,0,1,1
691,1,1,0,31.0,1,0,1
692,1,3,1,4.0,0,1,2
694,0,3,0,25.0,0,0,2
695,0,1,0,60.0,0,0,1
696,0,2,0,52.0,0,0,1
697,0,3,0,44.0,0,0,1
699,0,1,0,49.0,1,1,2
700,0,3,0,42.0,0,0,1
701,1,1,1,18.0,1,0,2
702,1,1,0,35.0,0,0,1
703,0,3,1,18.0,0,1,2
704,0,3,0,25.0,0,0,3
705,0,3,0,26.0,1,0,1
706,0,2,0,39.0,0,0,1
707,1,2,1,45.0,0,0,1
708,1,1,0,42.0,0,0,1
709,1,1,1,22.0,0,0,1
711,1,1,1,24.0,0,0,2
713,1,1,0,48.0,1,0,1
714,0,3,0,29.0,0,0,1
715,0,2,0,52.0,0,0,1
716,0,3,0,19.0,0,0,1
717,1,1,1,38.0,0,0,2
718,1,2,1,27.0,0,0,1
720,0,3,0,33.0,0,0,1
721,1,2,1,6.0,0,1,1
722,0,3,0,17.0,1,0,1
723,0,2,0,34.0,0,0,1
724,0,2,0,50.0,0,0,1
725,1,1,0,27.0,1,0,1
726,0,3,0,20.0,0,0,1
727,1,2,1,30.0,3,0,1
729,0,2,0,25.0,1,0,1
730,0,3,1,25.0,1,0,1
731,1,1,1,29.0,0,0,1
732,0,3,0,11.0,0,0,2
734,0,2,0,23.0,0,0,1
735,0,2,0,23.0,0,0,1
736,0,3,0,28.5,0,0,1
737,0,3,1,48.0,1,3,1
738,1,1,0,35.0,0,0,2
742,0,1,0,36.0,1,0,1
743,1,1,1,21.0,2,2,2
744,0,3,0,24.0,1,0,1
745,1,3,0,31.0,0,0,1
746,0,1,0,70.0,1,1,1
747,0,3,0,16.0,1,1,1
748,1,2,1,30.0,0,0,1
749,0,1,0,19.0,1,0,1
750,0,3,0,31.0,0,0,3
751,1,2,1,4.0,1,1,1
752,1,3,0,6.0,0,1,1
753,0,3,0,33.0,0,0,1
754,0,3,0,23.0,0,0,1
755,1,2,1,48.0,1,2,1
756,1,2,0,0.67,1,1,1
757,0,3,0,28.0,0,0,1
758,0,2,0,18.0,0,0,1
759,0,3,0,34.0,0,0,1
760,1,1,1,33.0,0,0,1
762,0,3,0,41.0,0,0,1
763,1,3,0,20.0,0,0,2
764,1,1,1,36.0,1,2,1
765,0,3,0,16.0,0,0,1
766,1,1,1,51.0,1,0,1
768,0,3,1,30.5,0,0,3
770,0,3,0,32.0,0,0,1
771,0,3,0,24.0,0,0,1
772,0,3,0,48.0,0,0,1
773,0,2,1,57.0,0,0,1
775,1,2,1,54.0,1,3,1
776,0,3,0,18.0,0,0,1
778,1,3,1,5.0,0,0,1
780,1,1,1,43.0,0,1,1
781,1,3,1,13.0,0,0,2
782,1,1,1,17.0,1,0,1
783,0,1,0,29.0,0,0,1
785,0,3,0,25.0,0,0,1
786,0,3,0,25.0,0,0,1
787,1,3,1,18.0,0,0,1
788,0,3,0,8.0,4,1,3
789,1,3,0,1.0,1,2,1
790,0,1,0,46.0,0,0,2
792,0,2,0,16.0,0,0,1
795,0,3,0,25.0,0,0,1
796,0,2,0,39.0,0,0,1
797,1,1,1,49.0,0,0,1
798,1,3,1,31.0,0,0,1
799,0,3,0,30.0,0,0,2
800,0,3,1,30.0,1,1,1
801,0,2,0,34.0,0,0,1
802,1,2,1,31.0,1,1,1
803,1,1,0,11.0,1,2,1
804,1,3,0,0.42,0,1,2
805,1,3,0,27.0,0,0,1
806,0,3,0,31.0,0,0,1
807,0,1,0,39.0,0,0,1
808,0,3,1,18.0,0,0,1
809,0,2,0,39.0,0,0,1
810,1,1,1,33.0,1,0,1
811,0,3,0,26.0,0,0,1
812,0,3,0,39.0,0,0,1
813,0,2,0,35.0,0,0,1
814,0,3,1,6.0,4,2,1
815,0,3,0,30.5,0,0,1
817,0,3,1,23.0,0,0,1
818,0,2,0,31.0,1,1,2
819,0,3,0,43.0,0,0,1
820,0,3,0,10.0,3,2,1
821,1,1,1,52.0,1,1,1
822,1,3,0,27.0,0,0,1
823,0,1,0,38.0,0,0,1
824,1,3,1,27.0,0,1,1
825,0,3,0,2.0,4,1,1
828,1,2,0,1.0,0,2,2
831,1,3,1,15.0,1,0,2
832,1,2,0,0.83,1,1,1
834,0,3,0,23.0,0,0,1
835,0,3,0,18.0,0,0,1
836,1,1,1,39.0,1,1,2
837,0,3,0,21.0,0,0,1
839,1,3,0,32.0,0,0,1
841,0,3,0,20.0,0,0,1
842,0,2,0,16.0,0,0,1
843,1,1,1,30.0,0,0,2
844,0,3,0,34.5,0,0,2
845,0,3,0,17.0,0,0,1
846,0,3,0,42.0,0,0,1
848,0,3,0,35.0,0,0,2
849,0,2,0,28.0,0,1,1
851,0,3,0,4.0,4,2,1
852,0,3,0,74.0,0,0,1
853,0,3,1,9.0,1,1,2
854,1,1,1,16.0,0,1,1
855,0,2,1,44.0,1,0,1
856,1,3,1,18.0,0,1,1
857,1,1,1,45.0,1,1,1
858,1,1,0,51.0,0,0,1
859,1,3,1,24.0,0,3,2
861,0,3,0,41.0,2,0,1
862,0,2,0,21.0,1,0,1
863,1,1,1,48.0,0,0,1
865,0,2,0,24.0,0,0,1
866,1,2,1,42.0,0,0,1
867,1,2,1,27.0,1,0,2
868,0,1,0,31.0,0,0,1
870,1,3,0,4.0,1,1,1
871,0,3,0,26.0,0,0,1
872,1,1,1,47.0,1,1,1
873,0,1,0,33.0,0,0,1
874,0,3,0,47.0,0,0,1
875,1,2,1,28.0,1,0,2
876,1,3,1,15.0,0,0,2
877,0,3,0,20.0,0,0,1
878,0,3,0,19.0,0,0,1
880,1,1,1,56.0,0,1,2
881,1,2,1,25.0,0,1,1
882,0,3,0,33.0,0,0,1
883,0,3,1,22.0,0,0,1
884,0,2,0,28.0,0,0,1
885,0,3,0,25.0,0,0,1
886,0,3,1,39.0,0,5,3
887,0,2,0,27.0,0,0,1
888,1,1,1,19.0,0,0,1
890,1,1,0,26.0,0,0,2
891,0,3,0,32.0,0,0,3
